stage,provider,model,prompt_token,completion_token,total_token
STAGE_1,openai,gpt-4o-mini,29,104,133
STAGE_1,google,gemini-2.5-flash-lite,24,94,118
STAGE_1,anthropic,claude-haiku-4-5-20251001,29,134,163
STAGE_1,nvidia,nvidia/nemotron-3-super-120b-a12b,40,138,178
STAGE_1,meta,meta/llama-4-maverick-17b-128e-instruct,33,109,142
STAGE_1,mistral,mistral-small-latest,41,140,181
STAGE_2,openai,gpt-4o-mini,833,115,948
STAGE_2,google,gemini-2.5-flash-lite,878,114,992
STAGE_2,anthropic,claude-haiku-4-5-20251001,901,177,1078
STAGE_2,nvidia,nvidia/nemotron-3-super-120b-a12b,866,146,1012
STAGE_2,meta,meta/llama-4-maverick-17b-128e-instruct,836,113,949
STAGE_2,mistral,mistral-small-latest,867,137,1004
STAGE_3,openai,gpt-4o-mini,311,48,359
STAGE_3,google,gemini-2.5-flash-lite,320,38,358
STAGE_3,anthropic,claude-haiku-4-5-20251001,337,42,379
STAGE_3,nvidia,nvidia/nemotron-3-super-120b-a12b,341,36,377
STAGE_3,meta,meta/llama-4-maverick-17b-128e-instruct,341,46,387
STAGE_3,mistral,mistral-small-latest,387,53,440
